work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd_log
2024,MI,FT,Associate,USD,US,0,US,M,11.127262984158243
2024,MI,FT,Associate,USD,US,0,US,M,11.082142548877775
2024,MI,FT,Associate,USD,US,0,US,M,10.976782033219948
2024,MI,FT,Research Assistant,USD,US,0,US,M,11.350406535472453
2024,MI,PT,Research Scientist,USD,US,0,US,M,10.933106969717286
2024,MI,FT,Data Specialist,USD,US,0,US,M,11.156250521031495
2024,MI,FT,Data Specialist,USD,US,0,US,M,11.042921835724492
2024,MI,FT,Research Engineer,USD,US,0,US,M,12.192987405981519
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.988538332980475
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.52879881412652
2024,SE,FT,Engineer,USD,US,0,US,M,11.710956315469362
2024,EX,FT,Engineer,USD,US,0,US,M,13.006503491309793
2024,EX,FT,Engineer,USD,US,0,US,M,12.536814207442402
2024,SE,FT,AI Architect,USD,US,0,US,M,11.813030057420567
2024,SE,FT,Manager,USD,US,0,US,M,12.591335046320818
2024,SE,FT,Manager,USD,US,0,US,M,11.83210620448138
2024,SE,FT,Data Product Owner,USD,US,0,US,M,11.608235644774552
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.728579774070003
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.124320143657915
2024,SE,FT,Lead Engineer,USD,CA,100,CA,M,12.21404081517935
2024,SE,FT,Lead Engineer,USD,CA,100,CA,M,12.108680299521524
2024,SE,FT,Machine Learning Engineer,USD,US,100,US,M,12.651495374695463
2024,SE,FT,Machine Learning Engineer,USD,US,100,US,M,12.150824171299694
2024,MI,FT,Data Analyst,GBP,GB,0,GB,M,11.156250521031495
2024,MI,FT,Data Analyst,GBP,GB,0,GB,M,10.959540226785442
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.33976184596104
2024,MI,FT,Software Engineer,USD,US,0,US,M,11.225243392518447
2024,SE,FT,Software Engineer,USD,US,0,US,M,11.805595078933049
2024,MI,FT,Data Governance Specialist,USD,US,0,US,M,11.425732253267851
2024,MI,FT,Data Governance Specialist,USD,US,0,US,M,10.940224437486151
2024,SE,FT,Software Engineer,USD,US,0,US,M,12.382543788645952
2024,EN,FT,Research Scientist,USD,US,0,US,M,11.626254150277232
2024,SE,FT,Data Engineer,USD,US,100,US,M,12.496874845318198
2024,SE,FT,Data Engineer,USD,US,100,US,M,11.951180395901384
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.081189463383483
2024,SE,FT,Data Engineer,USD,US,0,US,M,11.562382073682821
2024,SE,FT,Business Intelligence Developer,USD,US,0,US,M,12.217012585568508
2024,SE,FT,Business Intelligence Developer,USD,US,0,US,M,11.581704980365053
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.728036844587175
2024,MI,FT,Data Scientist,USD,US,100,US,M,12.260466129360506
2024,MI,FT,Data Scientist,USD,US,100,US,M,11.758925798427367
2024,MI,FT,AI Product Manager,USD,US,0,US,M,12.590654542721914
2024,MI,FT,AI Product Manager,USD,US,0,US,M,12.183315658407558
2024,EN,FT,Software Engineer,USD,US,0,US,M,12.429216196844383
2024,EN,FT,Software Engineer,USD,US,0,US,M,11.626254150277232
