"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5839777093.95123","5156523262.60518","3001096397.25066","2736999950.50702","2884798023.90046","3083849041.96219","3264729146.7809","3373153403.74995","3619393601.80914","3738833590.68989","3959424772.65728","4339529550.80371","4912347451.42022","5600076094.6952","6188084084.57212","7048227772.27278","7978593838.17516","9071661194.12856","9697605816.5624","8330243396.35924","8513508751.09706","8913643662.28574","9555426006.05632","9870755064.25618","10226102246.6276","10553337518.414","10574444193.4325","11367527508.1135","11958638938.496","12867495497.6469","11941035821.9185","12633615899.6682","14225451502.9981","15463065783.759",
"Samoa Americana","ASM","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","744923664.122138","752116030.534351","755198473.282443","752116030.534351","721291603.053435","734648854.961832","715126717.557252","685329770.992367","687384732.824428","687384732.824428","657587786.259542","641148091.603054","652450381.679389","673000000","661697709.923664","615461068.70229","631900763.358779","628818320.610687","656560305.343511","651422900.763359","662725190.839695","",
"Antigua y Barbuda","ATG","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","387095908.993557","404064146.194399","436713652.379168","472353897.204379","490375108.400877","489961962.35397","516242438.3289","568719298.605496","612191037.523402","682557487.247039","727784182.824373","765727808.265083","805945565.043635","830215153.179637","848287550.612035","858115307.90483","903426095.155429","963738105.684428","921725174.48967","982603889.773275","1036364062.10708","1085396819.93955","1125640169.83605","1195469164.08273","1141098413.07784","1152820061.09893","1222875737.24746","1293395745.6788","1377129115.29174","1552134855.83376","1696721347.61236","1696483697.23139","1493533928.0477","1376434444.94739","1349473923.26693","1394989455.46113","1386609537.41236","1417273748.87615","1437755555.55556","1496700162.35408","1533568876.84089","1640200774.69966","1691054300.06629","1371776497.48049","1484148566.07947","1625386015.56633","1688158621.57823",
"Australia","AUS","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","204552693089.735","209630955779.938","212344121294.877","225544205184.523","241288179166.102","255718059201.207","261801097293.834","278307830410.407","292484137221.49","313090190822.925","335556914435.482","348981339247.185","362627385697.042","372125844372.745","387410259374.595","392587775927.283","402751099517.447","417230606483.794","420958064894.822","438008654792.14","451305273260.368","466378263938.703","481886340041.634","471166922893.159","492801545631.177","518814215454.189","539388997290.731","553211117373.353","585042374929.356","607734119284.946","629485671230.824","627081824259.933","629763718009.98","655238649441.03","681315222435.779","707771815356.074","735119653575.813","763886278172.32","799508217490.112","839704672154.942","872633840587.072","890305786856.39","925736696479.946","954348321893.94","994663065408.582","1026036123626.81","1054306478910.88","1094089602422.35","1133326149869.16","1154775181480.75","1180486690611.43","1208924281855.58","1256294887279.41","1289036425122.18","1322646774172.19","1351768945139.11","1389336532090.02","1421551208676.45","1462866648667.66","1494773366351.99","1489770563790.11","1521231998735.21","1586172577281.96","1634027215240.65",
"Austria","AUT","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","84295314542.4644","88963571626.8957","91319927608.1711","95098990567.8936","100923189151.185","104435492666.466","110328642781.46","113647381090.94","118730047442.402","126181387506.099","135169130645.024","142082989214.129","150903303811.962","158283132276.333","164522871893.839","163924443911.638","171429635128.008","180138227325.32","179758759493.059","189387896783.516","192667120935.942","192389112509.963","196258547592.121","202093486979.047","202197109935.467","207249365643.959","212018988476.745","214896442478.295","221979171128.378","230607667590.116","240629049863.283","248910606082.174","254121610895.057","255460346929.86","261596808649.455","268576168421.57","274886456416.226","280641477589.641","290692443914.523","301030430129.082","311192381028.414","315135711888.113","320340348097.004","323356259321.687","332200441760.824","339655236682.676","351387070656.34","364484726093.492","369807747327.812","355886045571.664","362424005611.476","373016924602.914","375555101767.152","375650886015","378134963330.691","381971148530.543","389570224508.691","398368950204.699","408030932405.258","413949540159.265","386492302608.55","402871331324.597","422235060667.714","418735512774.007",
"Azerbaiyán","AZE","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20240091907.5767","20098411228.6619","15556170225.3742","11962695102.6124","9606044019.06944","8472530910.53572","8582673761.93048","9080468852.82118","9988515702.82903","10727665994.6477","11918436828.1641","13098362058.1026","14334705485.3859","15798035139.5108","17259953999.1872","22086102614.13","29705808016.0049","37132259975.9133","41127311680.0779","44950656172.1802","47220189860.7658","47267410115.7076","48290862738.2682","51096465688.5745","52501877459.7444","53076235354.746","51430872122.2426","51533733835.093","52306739842.6194","53614408373.9591","51308988759.0274","54190732985.9123","56745718946.4579","57383526259.1424",
"Burundi","BDI","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","798536036.456817","688768194.430732","751192343.690224","782257207.623602","831328498.740123","864309175.839385","904179696.716675","1029151061.69467","1026085388.70651","1011109250.30161","1226735079.77048","1260431391.16348","1179713806.9813","1260984889.48285","1251819552.42584","1260556254.40312","1360677964.1039","1516740284.27566","1502474189.35523","1527489707.74691","1542627981.94595","1730262074.40731","1712032036.30219","1775639624.64819","1778401525.63402","1987953781.69961","2052565867.06033","2165520539.64117","2274468405.67354","2305162407.677","2385838991.89422","2505055464.22991","2530356483.61119","2372462238.99867","2281596935.33521","2100894457.97115","1932822901.37672","1902091017.30555","1992440340.53429","1972316693.16467","1955416620.30264","1995616214.18073","2084351676.53824","2058844882.28283","2158362397.86831","2177787659.46859","2295688883.37796","2374934882.81749","2490397480.72402","2585349995.27363","2717827465.44662","2827426575.50415","2953153932.04472","3098572839.6491","3229972475.40545","3104003546.26497","3085379496.76838","3100806433.20295","3150727414.31633","3207836406.88248","3218331064.79216","3318099327.75908","3379450965.7308","3470696161.98259",
"Bélgica","BEL","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","106632376498.828","111940987323.275","117775355510.86","122900449368.952","131450246167.531","136130742292.216","140426885556.814","145858803843.108","151976311145.685","162052036310.919","172346670831.88","179216111161.922","188706688044.546","200749386449.419","209914113819.734","205787325003.57","217419959648.709","218781345279.661","224998884653.738","230266272692.697","240499429910.323","239827755215.622","241254698634.742","242007033807.079","247975853676.465","252071901218.968","256666571621.109","262586995647.719","274989527944.74","284529373856.785","293456205020.658","298835475229.994","303409615205.606","300491199097.648","310187964527.328","317585194591.875","321781927100.664","333989231728.476","340541460104.062","352605970422.851","365711203833.047","369732633305.117","376043542626.992","379946808976.211","393515485920.82","402651880769.961","412928965821.953","428111873071.133","430025228051.015","421335523091.64","433403805754.258","440747893479.883","444005978083.203","446045040873.594","453086009677.5","462335574841.484","468191916732.07","475774660680.469","484305039588.75","495157518025.82","468892019366.054","501376781582.929","516491897594.492","523542297257.968",
"Benin","BEN","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","1651120631.15842","1702986960.85679","1644635648.37988","1722427374.56795","1836981870.40947","1934229170.81725","2003394550.8974","2024999131.02193","2102806394.23342","2163314605.62541","2208695701.75521","2175635020.67241","2315449323.53487","2401263703.34438","2481449394.1221","2359973874.1976","2380844452.60757","2499497734.05871","2530868380.92301","2696279545.70683","2879134857.71386","3165730597.06271","3236486776.18013","3095770068.30471","3341259668.03857","3592867374.72505","3670873612.85602","3615810400.28745","3738937613.84945","3632222333.49652","3958255490.40473","4125523427.98874","4247544481.09719","4495438486.40154","4586264345.70312","4863513136.03406","5073825257.93663","5364793325.18214","5577293439.98873","5875201745.41607","6219354272.65514","6551040876.0552","6855207726.28555","7091272067.48876","7405393050.93385","7532259620.47862","7829312267.7691","8298002249.61043","8704320326.21926","8906198943.30981","9094481753.64081","9364019722.08608","9814543622.24071","10520350021.8969","11189200116.267","11388160996.7738","11768488383.3269","12435945492.7429","13268812302.6618","14179807374.6843","14725558723.2985","15779238957.3117","16765953414.8798","17831064526.3991",
"Burkina Faso","BFA","PIB (US$ a precios constantes de 2015)","NY.GDP.MKTP.KD","1166782785.98608","1213966641.5058","1288368214.22299","1272031494.32608","1301069673.81082","1350049032.11506","1357307072.34754","1477066550.51673","1522423925.19439","1553269467.6992","1555087097.58311","1577065763.72581","1613519619.00794","1620769604.83282","1755073486.55337","1807697309.80526","1961982376.4042","1969248648.05364","2059988179.56406","2135478949.53865","2152496130.24403","2244091371.14198","2458675800.42369","2467182443.50436","2423298751.1015","2629699950.55815","2838902120.30277","2832192750.18472","2996335113.95777","3060764327.26471","3042310107.50399","3318247161.44233","3325969079.69165","3441093672.50713","3486344304.54047","3685636779.12882","4091600230.31209","4350059854.87114","4667950033.01846","5013156038.3976","5107828181.20084","5445629583.60137","5682675869.68484","6126066307.13183","6400419254.55947","6954815456.4763","7389711520.7284","7693530569.65392","8139754707.2893","8380850241.73524","9088720451.70527","9690626654.34607","10315931043.8746","10913490102.1529","11385699970.03","11832159315.6298","12537116611.6541","13314855313.1302","14194244128.6065","15030172259.3475","15332394848.4963","16396333530.0794","16687846475.1415","17181836771.1356",
